Bitcoin,"4,745.52",-11.95
Ethereum,107.67,-14.90
XRP,0.137391,-11.00
Tether,0.995710,-0.64
Bitcoin Cash,157.86,-9.58
Litecoin,31.10,-13.69
Bitcoin SV,105.44,-13.28
EOS,1.82,-11.02
Binance Coin,9.08,-14.24
Tezos,1.25,-22.50
UNUS SED LEO,0.855755,-8.25
Stellar,0.033840,-12.56
Huobi Token,2.76,-7.56
TRON,0.009041,-11.33
Cardano,0.023052,-15.06
USD Coin,0.992078,-0.92
Chainlink,1.70,-22.92
Monero,30.95,-18.81
Ethereum Classic,4.30,-14.38
Crypto.com Coin,0.029462,-10.59
Dash,41.24,-12.77
Neo,5.12,-15.27
HedgeTrade,1.22,-16.04
Cosmos,1.58,-17.43
NEM,0.031824,-7.68
IOTA,0.100742,-32.84
Paxos Standard,0.994807,-0.93
Zcash,22.33,-13.48
Ontology,0.297818,-16.22
FTX Token,1.99,-6.03
Dogecoin,0.001536,-10.54
Maker,191.96,-23.60
OKB,3.14,-13.63
Basic Attention Token,0.106645,-16.71
TrueUSD,0.995918,-0.57
Binance USD,0.994763,-0.83
VeChain,0.002108,-19.45
Hedera Hashgraph,0.033435,-22.69
Bitcoin Gold,5.72,-12.27
Qtum,1.02,-17.48
Decred,8.99,-21.57
Multi-collateral DAI,1.03,-2.37
Lisk,0.745909,-13.41
ZB Token,0.195029,-12.21
0x,0.137220,-14.97
ICON,0.160735,-16.91
Algorand,0.122801,-19.68
Waves,0.722712,-18.20
Augur,6.55,-15.97
Bitcoin Diamond,0.384444,-6.58
Kyber Network,0.378442,-23.46
MonaCoin,1.02,-7.03
KuCoin Shares,0.813055,-13.99
Ravencoin,0.011536,-19.63
DxChain Token,0.001262,-8.72
Synthetix Network Token,0.358844,-24.73
OmiseGO,0.419774,-16.53
THETA,0.054090,-17.43
ABBC Coin,0.082512,-16.05
Bytom,0.044815,-11.15
Nano,0.337044,-18.62
Holo,0.000271,-16.11
Nexo,0.077652,-20.69
Steem,0.114916,-17.30
Siacoin,0.000994,-17.45
MCO,2.52,-9.67
Nervos Network,0.002874,-11.89
DigixDAO,19.51,-15.15
Terra,0.134798,-8.37
BitTorrent,0.000181,-14.59
Enjin Coin,0.045967,-15.99
Horizen,4.33,-20.88
HyperCash,0.819976,-13.76
DigiByte,0.002813,-20.09
BitShares,0.013090,-13.76
STASIS EURO,1.07,0.81
v.systems,0.017468,-15.53
Zilliqa,0.003262,-13.99
Bytecoin,0.000177,-24.90
Seele,0.043141,-14.96
Komodo,0.251801,-41.93
Verge,0.001814,-14.21
Molecular Future,0.344701,-12.96
Status,0.008392,-15.78
WAX,0.026110,-19.35
Ardor,0.027528,-17.64
IOST,0.002287,-17.73
Energi,1.01,-13.52
Zcoin,2.72,-10.23
Golem,0.026826,-20.26
Aeternity,0.082652,-10.75
Ren,0.029089,-28.66
aelf,0.045019,-19.36
Loopring,0.024257,-19.16
Yap Stone,0.157515,-9.24
WaykiChain,0.123864,-13.71
Tachyon Protocol,0.087131,-3.89
Hyperion,0.073173,-5.98
Chiliz,0.005054,-13.29
Pundi X,0.000093,-17.14
Gatechain Token,0.356370,-7.19
Huobi Pool Token,0.004199,-12.90
Matic Network,0.007619,-25.42
Decentraland,0.019762,-20.30
Dragon Coins,0.059325,89.63
RSK Infrastructure Framework,0.034657,-16.98
Blockstack,0.056005,-24.19
Aave,0.015356,-26.79
MaidSafeCoin,0.043298,-13.34
Quant,1.59,-19.13
Aion,0.047205,-21.72
Power Ledger,0.043909,-22.63
Elastos,0.994979,-13.58
Electroneum,0.001776,-14.48
Project Pai,0.011963,-0.75
Digitex Futures,0.021431,-14.53
TrueChain,0.217359,-1.76
Single Collateral DAI ,1.02,-2.84
Crypterium,0.167317,-18.02
GXChain,0.244873,-6.40
Stratis,0.159373,-23.62
iExec RLC,0.197806,-24.00
SOLVE,0.047450,-21.24
Aragon,0.475781,-21.89
Orbs,0.007503,-9.16
BHEX Token,0.033172,-10.40
Factom,1.66,-12.39
Ripio Credit Network,0.028469,-25.38
Celsius,0.060211,-21.50
Wirex Token,0.007533,-13.50
Grin,0.380085,-14.41
BOSAGORA,0.048196,-10.35
ZTCoin,0.047148,2.56
MX Token,0.066399,-14.49
ILCoin,0.030368,-6.81
TomoChain,0.181429,-15.41
Aidos Kuneen,0.505761,-19.26
WINk,0.000064,-3.22
Super Zero,0.050846,-10.71
ReddCoin,0.000425,-21.53
Beam,0.212680,-14.20
Swipe,0.196349,-23.12
Ark,0.098285,-11.60
Thunder Token,0.003979,-9.43
STPT,0.016480,-3.13
Ignis,0.014823,-15.99
Waltonchain,0.158529,-19.73
Loom Network,0.011250,-23.32
BHPCoin,0.539853,-10.93
Numeraire,4.71,-20.03
PIVX,0.184651,-18.88
ZEON,0.000415,-9.96
Nash Exchange,0.437124,-22.89
Unibright,0.067650,-31.90
Gnosis,9.10,-8.50
Civic,0.014820,-19.91
Wanchain,0.093534,-22.51
QASH,0.028008,-9.74
Metal,0.150144,-18.68
Divi,0.006023,-26.98
Populous,0.176889,-15.80
NULS,0.110643,-17.37
Nebulas,0.179395,-13.42
Bancor,0.133642,-14.90
B2BX,0.468110,-5.69
Vertcoin,0.165872,-18.94
SwissBorg,0.012850,-11.40
Storj,0.064982,-23.00
BitKan,0.001403,-7.83
Cortex,0.035239,-19.00
Dentacoin,0.000019,-30.20
Diamond Platform Token,4.99,-11.68
CryptoFranc,1.04,-2.80
Tierion,0.019984,-18.73
Loki,0.180082,-14.35
IoTeX,0.001546,-19.33
TTC,0.020388,-14.63
GoWithMi,0.003056,6.82
FunFair,0.001249,-21.54
Function X,0.043683,0.07
Machine Xchange Coin,0.003154,-13.24
Gas,0.797587,-19.28
Einsteinium,0.036661,-21.91
Groestlcoin,0.107801,-17.96
Bread,0.090622,-15.02
YOU COIN,0.017626,-4.73
Metaverse ETP,0.100693,-8.59
ODEM,0.035377,-9.33
BORA,0.011547,-9.75
Cosmo Coin,0.011376,-11.52
EDC Blockchain,0.002829,30.67
Syscoin,0.012610,-18.91
MovieBloc,0.001580,-2.07
Gifto,0.010887,-29.12
Harmony,0.001532,-19.49
Polymath,0.014162,-21.25
Cred,0.010408,-15.02
Nxt,0.006843,-11.86
XMax,0.000375,-26.26
Newton,0.000329,-18.63
Storeum,7.64,43.81
TAGZ5,1.72,6.68
InnovativeBioresearchClassic,1.00e-10,-40.23
MINDOL,2.09,45.79
INO COIN,1.34,31.68
PlayFuel,0.328032,-9.14
Baer Chain,0.733147,-11.17
PRIZM,0.108438,-16.96
Metaverse Dualchain Network Architecture,0.010181,-13.15
GlitzKoin,0.350301,8.06
Mixin,165.40,-6.06
ThoreCoin,914.80,-12.31
Insight Chain,0.218148,-6.44
ThoreNext,3.27,-18.23
Counos Coin,4.40,-1.58
Cryptonex,1.09,-12.05
GAPS,5.48,-1.29
ETERNAL TOKEN,0.565085,-12.12
Dimension Chain,0.204948,-12.62
Beldex,0.042303,-9.33
QCash,0.133509,-2.43
Insolar,0.994416,-3.72
botXcoin,0.023835,-14.13
Tap,0.074098,-1.14
inSure,0.010531,-12.06
Centrality,0.042572,-4.06
Joule,0.033526,0.00
Ecoreal Estate,0.158860,-0.83
Bitbook Gambling,0.092003,-11.57
USDK,0.993348,-1.07
1irstcoin,0.703585,-11.07
MineBee,0.015026,-14.62
Flexacoin,0.001004,-15.14
Breezecoin,0.270012,-14.24
PLATINCOIN,5.38,-1.18
Buggyra Coin Zero,0.013340,1.45
UNI COIN,0.429694,179.01
HEX,0.000291,-2.32
Bankera,0.000938,-15.02
Velas,0.017048,-13.44
Cryptoindex.com 100,0.363553,-13.05
NEXT,0.544347,-7.20
Poseidon Network,0.009848,-2.31
FABRK,0.004291,-13.35
BitcoinHD,3.38,-7.16
BitBay,0.020256,80.28
BitForex Token,0.004644,-8.67
BitMax Token,0.029233,-6.08
MEXC Token,0.019156,-0.24
Vitae,0.894794,-15.76
PAX Gold,"1,498.19",-3.36
Jewel,0.303990,0.77
Folgory Coin,0.998796,-25.38
BigONE Token,0.001666,-12.37
Envion,0.122624,-2.19
Bit-Z Token,0.118489,-4.55
ZVCHAIN,0.032982,-14.07
Qubitica,17.80,-14.48
Dynamic Trading Rights,0.009331,-13.26
Bitball Treasure,30.63,-15.08
STEM CELL COIN,0.041487,-5.98
Bitcoin 2,0.730145,-13.10
AgaveCoin,0.031531,-11.86
LuckySevenToken,0.175709,-5.45
CasinoCoin,0.000281,-21.53
Tratin,0.000098,-17.29
LATOKEN,0.028374,-19.56
CRYPTO20,0.261362,-12.01
Anchor,0.790118,0.20
VestChain,0.001417,-13.75
General Attention Currency,0.970500,-1.41
Veritaseum,4.48,-14.73
MOAC,0.151251,-7.05
XeniosCoin,0.122486,2.50
CryptoVerificationCoin,16.25,-10.20
Chimpion,0.292832,-6.21
ChronoCoin,0.004103,-28.44
FIBOS,0.008591,-4.75
Ultiledger,0.013902,-7.40
Spectre.ai Dividend Token,0.108432,0.00
Karatgold Coin,0.001934,-15.88
Elitium,0.892665,-14.94
DAD,0.138129,-13.79
Orchid,0.128655,-15.38
Neutrino Dollar,0.961315,-3.73
Obyte,11.07,-13.42
Apollo Currency,0.000527,-13.32
WazirX,0.070906,-27.42
Unobtanium,37.14,-12.09
GreenPower,0.002311,-11.94
WinCash,4.85,-0.96
Kusama,1.44,-12.30
Telos,0.028709,-15.93
OTOCASH,0.329713,0.16
Clipper Coin,0.002486,3.51
Everipedia,0.000897,-10.18
Elrond,0.000686,-16.38
Ultra,0.029461,-12.33
Lambda,0.010549,-16.36
Dent,0.000084,-13.43
Fetch.ai,0.009615,-17.43
Ocean Protocol,0.019098,-32.17
BlockStamp,0.248812,1.72
Robotina,0.021516,-7.48
Blocknet,0.981814,-10.03
Bibox Token,0.063883,-10.40
BTU Protocol,0.092138,-13.24
Everus,0.013888,-12.15
United Traders Token,0.170294,-6.34
Cajutel,4.71,-8.85
Aladdin,0.000147,-10.06
NewYork Exchange,1.94,-13.35
Emirex Token,0.249552,-11.80
Revain,0.012700,-4.21
Contents Protocol,0.001933,0.00
Monero Classic,0.334297,-6.80
THORChain,0.041714,-37.34
Storm,0.000779,-19.42
Arcblock,0.060035,-12.61
CONUN,0.002077,-13.54
Nexus,0.091319,-18.82
IoT Chain,0.067427,10.22
Sentinel Protocol,0.017219,23.61
Metadium,0.004694,-2.45
Burst,0.002771,-24.79
Digix Gold Token,48.52,-1.59
CyberVein,0.005371,-0.10
IRISnet,0.009406,-22.16
Reserve Rights,0.001341,-25.81
Aurora,0.000862,-14.51
doc.com Token,0.007342,-8.09
Enigma,0.073935,-26.06
apM Coin,0.182694,-15.67
Dragonchain,0.023067,-11.42
Carry,0.001253,-20.06
Theta Fuel,0.001417,-19.96
Santiment Network Token,0.086300,-3.83
WhiteCoin,0.021383,-4.44
MediBloc,0.002153,-15.58
Credo,0.009619,0.00
eBitcoin,0.278829,0.00
IQeon,0.939849,-9.87
SingularityNET,0.009543,-22.68
DMarket,0.090183,-20.97
Origin Protocol,0.179516,-24.64
OST,0.006945,-9.37
USDQ,0.925295,-5.62
Mooncoin,0.000022,73.75
The Force Protocol,0.016233,-1.46
Polybius,1.27,-11.29
LTO Network,0.023661,-26.26
Moss Coin,0.014457,-15.22
Constellation,0.004931,-23.51
CoinEx Token,0.006447,-11.36
Cocos-BCX,0.000205,-18.54
Lightning Bitcoin,1.27,-10.14
Eidoo,0.068256,-21.34
PressOne,0.017103,-5.31
Mainframe,0.000510,-20.88
IDEX,0.009689,-23.05
Acute Angle Cloud,0.018748,-19.45
Moeda Loyalty Points,0.236952,-17.96
Contentos,0.004583,-17.33
Steem Dollars,0.683337,-10.50
Davinci Coin,0.001268,-20.47
Aergo,0.017532,-13.02
Gemini Dollar,1.00,2.20
Voyager Token,0.020760,-24.46
LINKA,0.006635,6.72
Cindicator,0.002367,-26.92
Credits,0.024077,-8.07
sUSD,0.982536,1.30
EDUCare,0.006169,-16.32
GoChain,0.004775,-19.31
Skycoin,0.257951,-13.43
Request,0.005583,-16.65
CyberMiles,0.005474,-17.45
SALT,0.053845,-18.40
FLETA,0.005292,0.95
Wrapped Bitcoin,"4,822.16",-11.27
DDKoin,2.50,-9.34
Electronic Energy Coin,0.009856,-14.16
Hxro,0.045368,0.23
QuarkChain,0.001802,-18.55
Safe,0.204111,-16.87
Ankr,0.001054,-22.33
Band Protocol,0.231149,-31.26
Sport and Leisure,0.006148,-15.11
bitCNY,0.133143,-2.09
MicroBitcoin,0.000022,-24.92
Agrocoin,0.033697,5.45
VIDY,0.000662,-15.14
Zano,0.407267,-27.71
Celer Network,0.001113,-21.26
GNY,0.020870,-8.49
Fantom,0.002213,-21.37
Perlin,0.011688,-23.49
Neblio,0.257922,-18.79
Elamachain,0.006183,0.00
ZrCoin,0.872426,-14.43
Gulden,0.007748,-12.12
Aencoin,0.014669,-6.06
Kin,0.000003,-18.24
CRYPTOBUCKS,0.014828,5.49
SaluS,3.85,-12.90
Kleros,0.008487,-39.96
LHT,0.077939,0.14
AdEx,0.045798,-22.14
Rakon,0.047926,-13.64
Polis,0.390181,-12.41
Neumark,0.097854,1.92
SIRIN LABS Token,0.007690,-19.07
Streamr DATAcoin,0.005524,-22.08
REPO,0.033920,-25.82
TOP,0.000816,-8.74
Tael,0.048520,-22.09
Telcoin,0.000076,-12.99
Wixlar,0.001484,-20.22
FirstBlood,0.041439,-9.05
T.OS,0.004143,-10.74
UnlimitedIP,0.002849,-16.77
RChain,0.009228,-11.06
IONChain,0.027275,17.18
XinFin Network,0.000597,-14.48
Quantum Resistant Ledger,0.048268,-11.55
Jibrel Network,0.020065,-28.64
SmartMesh,0.002553,-13.90
NKN,0.007308,-24.79
BitCapitalVendor,0.003643,-6.60
adToken,0.004185,-0.25
EveryCoin ,0.000357,-7.70
Quark,0.012571,-13.01
Nectar,0.040300,-25.11
Maximine Coin,0.002011,10.92
Pillar,0.012767,-13.39
COTI,0.010521,-26.30
Safex Token,0.001731,5.79
TenX,0.022643,-12.90
Counterparty,1.24,-5.08
NavCoin,0.047359,-9.20
Silverway,0.021438,-21.50
Credit Tag Chain,0.053935,0.00
Peercoin,0.122855,-7.68
SymVerse,0.048004,-12.47
Achain,0.003318,-12.21
S4FE,0.011914,-11.80
Dusk Network,0.013831,-17.19
All Sports,0.002104,-8.67
Blackmoon,0.058199,-13.22
Asch,0.033666,0.63
QuickX Protocol,0.006426,1.69
#MetaHash,0.001773,-7.62
VideoCoin,0.068224,-4.21
Fusion,0.087726,-3.57
Levolution,0.101722,-11.78
Ivy,0.004425,-47.63
Endor Protocol,0.002607,-23.33
Mobius,0.005829,-4.49
Atlas Protocol,0.001192,-13.38
suterusu,0.003983,-5.63
Monolith,0.091082,-13.42
Quantstamp,0.004768,-22.50
eosDAC,0.004477,-77.48
Namecoin,0.198966,-43.57
LockTrip,0.195916,-17.81
BABB,0.000087,-17.64
AMO Coin,0.000208,-6.96
Tokenomy,0.014564,-13.94
BQT,0.005859,1.55
MixMarvel,0.001454,-15.99
Bitcore,0.162283,-16.21
Snetwork,0.014895,1.31
Wagerr,0.015286,-10.86
Valor Token,0.144383,-3.77
Tellor,2.89,-23.59
Invictus Hyperion Fund,0.023512,-16.71
Locus Chain,0.003348,0.00
PLANET,0.140836,-3.86
ARPA Chain,0.004234,-21.55
Beaxy,0.012046,0.00
ProximaX,0.000448,-12.96
Rocket Pool,0.267849,-15.29
FNB Protocol,0.001163,-14.76
High Performance Blockchain,0.062790,-7.93
Bitcoin Rhodium,3.26,-8.73
BnkToTheFuture,0.003679,-40.49
ChainX,0.645797,-19.92
USDx stablecoin,0.996500,-0.63
pEOS,0.003265,-10.76
VITE,0.005911,-16.75
TrustVerse,0.007986,-6.33
LiquidApps,0.004939,-16.62
U Network,0.000378,-16.10
SmartCash,0.001866,-18.09
Ruff,0.002691,-11.79
Egoras Dollar,0.344796,-26.58
Incent,0.056666,-11.24
BaaSid,0.000532,-0.49
Metronome,0.251894,-6.70
Pepe Cash,0.003696,-8.39
Raiden Network Token,0.050846,-21.75
EOSDT,0.991016,1.01
Melon,2.05,-17.34
Dero,0.265531,-12.31
LBRY Credits,0.007436,-15.70
Constant,49.84,0.00
Utrust,0.005606,-18.10
DigitalBits,0.007566,-22.26
Time New Bank,0.000811,-18.54
Bezant,0.003631,-9.64
LINA,0.008811,6.58
Eminer,0.002226,-19.55
VNX Exchange,0.248166,35.68
HYCON,0.001146,-13.11
Prometeus,0.470578,-5.23
Hydro,0.000231,-20.34
APIS,0.000407,-18.74
Egretia,0.000585,-16.40
Particl,0.274850,-20.94
Uquid Coin,0.245674,0.73
Stakenet,0.025610,-20.38
TaaS,0.299061,-13.38
Futurepia,0.002713,0.00
Bitcoin Free Cash,4.42,-13.22
Electra,0.000085,-11.62
YOYOW,0.005055,-20.82
PumaPay,0.000095,-19.78
Game.com,0.003072,-13.55
Refereum,0.000489,-19.21
Cashaa,0.003059,-27.28
Haven Protocol,0.192974,-24.51
Humanscape,0.004876,-20.30
Esportbits,0.100055,-1.73
Origo,0.005446,-13.01
Travala.com,0.064100,-26.14
Everex,0.099603,-24.59
Ondori,0.000060,0.00
FOAM,0.007681,-30.26
Mithril,0.002887,-19.70
Litecoin Cash,0.003335,-10.73
EOS Force,0.002306,8.06
INT Chain,0.005851,-35.57
Universa,0.001200,-8.68
Po.et,0.000705,-20.13
Selfkey,0.000728,-18.22
ColossusXT,0.000185,-13.20
TokenClub,0.004215,-15.23
SwftCoin,0.000601,-14.75
MIR COIN,0.003512,0.39
1World,0.087914,-11.36
PegNet,0.001199,-20.38
PlayChip,0.000154,2.72
Ether Zero,0.012769,-24.00
Nimiq,0.000384,-9.30
FLO,0.013983,-16.41
DREP,0.000869,-25.32
Tripio,0.000566,-19.48
WePower,0.003492,-14.38
GET Protocol,0.186028,-16.43
STACS,0.003908,0.00
Pirate Chain,0.013622,-17.79
SingularDTV,0.003392,-20.69
GameCredits,0.028881,-3.79
GoCrypto Token,0.009854,1.88
Nyzo,0.177580,-5.74
Ethereum Meta,0.000039,867.70
Ambrosus,0.005920,-22.10
V-ID,0.043400,-27.41
Digital Asset Guarantee Token,0.060064,-7.72
Global Digital Content,0.000617,-11.77
NativeCoin,0.086319,-6.78
Asian Fintech,0.007882,0.30
Nucleus Vision,0.000293,-18.52
Presearch,0.012658,-34.30
Vipstar Coin,0.000040,10.36
Lykke,0.006172,-0.42
BidiPass,0.008089,-18.50
Titan Coin,0.002154,10.01
ShareToken,0.001757,-20.24
Measurable Data Token,0.003438,-13.71
CWV Chain,0.000542,-14.01
Wowbit,0.006859,0.00
BitGreen,0.181908,-15.54
Genesis Vision,0.427263,-23.75
Newscrypto,0.019827,-4.03
Chromia,0.012093,-7.31
Zel,0.019499,-10.49
Darico Ecosystem Coin,0.029703,-14.94
Emercoin,0.041185,-7.58
EURBASE,0.646280,-6.99
Viacoin,0.080206,-19.16
NaPoleonX,0.075358,-17.14
Lunes,0.012138,-16.70
TROY,0.001418,-23.30
Matrix AI Network,0.008757,-20.43
Sealchain,0.009718,0.00
Ubiq,0.041997,-18.18
Content Value Network,0.002105,-14.88
Cube,0.000264,2.16
Flash,0.001977,-2.29
Agrello,0.020422,-18.22
district0x,0.002912,-15.31
QunQun,0.002559,-11.28
BOScoin,0.002002,-23.76
ROAD,0.021804,-11.63
XYO,0.000135,-14.41
Caspian,0.003855,-12.67
Bluzelle,0.007804,-21.30
Ternio,0.005044,-4.52
Propy,0.032804,-19.76
UGAS,0.009565,-19.27
Themis,0.002737,-18.45
Artfinity,0.013118,-4.99
ROOBEE,0.001831,-13.76
DAPS Coin,0.000031,-29.01
MintCoin,0.000065,0.00
CUTcoin,0.017971,-17.70
BOX Token,0.016389,-34.10
Dock,0.002818,-23.22
Global Cryptocurrency,0.001272,-12.34
HyperExchange,0.027177,-17.66
IntelliShare,0.007327,25.73
DATA,0.000142,-12.08
Ampleforth,0.474466,-13.41
AppCoins,0.015805,-22.80
